YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,UNIQUE_CARRIER,ORIGIN_AIRPORT_ID,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST_CITY_NAME,CRS_DEP_TIME,CRS_ARR_TIME,ARR_DELAY_NEW,ARR_DEL15,CANCELLED,DISTANCE
2015,1,31,6,OO,14869,Salt Lake City   UT,14747,Seattle   WA,1200,1305,61,1,0,689
2015,1,16,5,OO,14747,Seattle   WA,11638,Fresno   CA,1855,2054,0,0,0,748
2015,1,31,6,OO,14057,Portland   OR,14869,Salt Lake City   UT,950,1240,38,1,0,630
2015,1,21,3,OO,14869,Salt Lake City   UT,14679,San Diego   CA,1315,1410,0,0,0,626
2015,1,4,7,OO,14689,Santa Barbara   CA,14057,Portland   OR,1720,1935,0,0,0,784
2015,1,16,5,OO,14689,Santa Barbara   CA,14057,Portland   OR,1720,1935,0,0,0,784
2015,1,23,5,OO,14689,Santa Barbara   CA,14057,Portland   OR,1720,1935,0,0,0,784
2015,1,18,7,OO,11638,Fresno   CA,14747,Seattle   WA,1125,1340,4,0,0,748
2015,1,28,3,OO,14747,Seattle   WA,11638,Fresno   CA,850,1055,1,0,0,748
2015,1,29,4,OO,11109,Colorado Springs   CO,14747,Seattle   WA,800,1005,0,0,0,1068
2015,1,19,1,OO,11109,Colorado Springs   CO,14747,Seattle   WA,800,1005,25,1,0,1068
2015,1,30,5,OO,14747,Seattle   WA,11109,Colorado Springs   CO,1925,2300,0,0,0,1068
2015,1,20,2,OO,14831,San Jose   CA,12892,Los Angeles   CA,1236,1400,54,1,0,308
2015,1,6,2,OO,14107,Phoenix   AZ,14698,San Luis Obispo   CA,1100,1148,1,0,0,509
2015,1,9,5,OO,14107,Phoenix   AZ,10561,Bakersfield   CA,1755,1824,2,0,0,425
2015,1,24,6,OO,14107,Phoenix   AZ,11413,Durango   CO,1945,2103,3,0,0,351
2015,1,29,4,OO,14689,Santa Barbara   CA,14107,Phoenix   AZ,1620,1853,0,0,0,455
2015,1,11,7,OO,14107,Phoenix   AZ,11413,Durango   CO,1700,1815,0,0,0,351
2015,1,26,1,OO,13891,Ontario   CA,14747,Seattle   WA,1110,1353,0,0,0,956
2015,1,21,3,OO,13891,Ontario   CA,14747,Seattle   WA,1110,1353,0,0,0,956
2015,1,18,7,OO,13158,Midland/Odessa   TX,11292,Denver   CO,1720,1814,0,0,0,563
2015,1,26,1,OO,15008,St. Cloud   MN,13930,Chicago   IL,630,801,0,0,0,394
2015,1,24,6,OO,15008,St. Cloud   MN,13930,Chicago   IL,630,801,0,0,0,394
2015,1,6,2,OO,12892,Los Angeles   CA,14689,Santa Barbara   CA,2107,2154,0,0,0,89
2015,1,26,1,OO,12892,Los Angeles   CA,11041,Carlsbad   CA,1537,1623,0,0,0,86
2015,1,12,1,OO,12892,Los Angeles   CA,11041,Carlsbad   CA,1537,1623,0,0,0,86
2015,1,31,6,OO,13184,Saginaw/Bay City/Midland   MI,13930,Chicago   IL,1230,1245,0,0,0,222
2015,1,10,6,OO,14570,Reno   NV,12892,Los Angeles   CA,1859,2030,0,0,0,391
2015,1,22,4,OO,13342,Milwaukee   WI,13930,Chicago   IL,932,1035,0,0,0,67
